17,From Dusk Till Dawn

84,The Puppet Masters

101,Heavy Metal

123,Frighteners

183,Alien

184,Army of Darkness

185,Psycho

200,The Shining

201,Evil Dead II

208,Young Frankenstein

217,Bram Stoker's Dracula

219,A Nightmare on Elm Street

234,Jaws

288,Scream

307,Devil's Advocate

343,Alien: Resurrection

351,The Prophecy II

353,Deep Rising

379,Tales from the Crypt: Demon Knigh

396,Serial Mom

406,Thinner

413,Bordello of Blood

424,Children of the Corn: The Gathering

436,An American Werewolf in London

437,It's About Time

438,Amityville 3-D

439,Amityville: A New Generation

440,Amityville II: The Possession

441,The Amityville Horror

442,The Amityville Curse

443,The Birds

444,Blob

445,The Body Snatcher

446,Burnt Offerings

447,Carrie

448,Omen

452,Jaws 2

453,Jaws 3-D

551,Lord of Illusions

559,Interview with the Vampire: The Vampire Chronicles

561,Mary Shelley's Frankenstein

563,The Langoliers

564,Tales from the Hood

565,Village of the Damned

567,New Nightmare

569,Wolf

573,Body Snatchers

590,Hellraiser: Bloodline

616,Night of the Living Dead

635,Fog

637,The Howling

665,The Making of 'Alien 3'

666,Blood for Dracula

667,Audrey Rose

668,Blood Beach

669,Body Parts

670,Body Snatchers

671,The Bride of Frankenstein

672,Candyman

674,Cat People

675,Nosferatu

681,Wishmaster

682,I Know What You Did Last Summer

706,Bad Moon

767,Addiction

774,Prophecy

777,Castle Freak

784,Beyond Bedlam

788,Relative Fear

800,In the Mouth of Madness

816,Candyman: Farewell to the Flesh

834,Halloween: The Curse of Michael Myers

839,Loch Ness

853,Braindead

854,Bad Taste

858,Amityville: Dollhouse

859,April Fool's Day

860,Believers

861,Vampire In Venice

885,Phantoms

895,Scream 2

928,The Craft

1052,Dracula: Dead and Loving It

1056,Cronos

1157,Relic

1199,Cemetery Man

1243,The Night Flier

1371,Machine

1477,Nightwatch

1520,Fear

1573,Spirits of the Dead

1625,Nightwatch


