124,Lone Star

135,2001: A Space Odyssey

159,Basic Instinct

191,Amadeus

260,Event Horizon

291,Absolute Power

302,L.A. Confidential

307,Devil's Advocate

312,Midnight in the Garden of Good and Evil

322,Murder at 1600

324,Lost Highway

327,Cop Land

328,Conspiracy Theory

333,Game of Thrones

334,U Turn

342,The Man Who Knew Too Little

350,Fallen

356,The Client

394,Radioland Murders

405,Mission: Impossible

479,Vertigo

484,The Maltese Falcon

493,The Thin Man

505,Dial M for Murder

513,Third Man

525,The Big Sleep

533,Daytrippers

574,Boxing Helena

587,The Hour Of The Pig

592,True Crime

603,Rear Window

608,Spellbound

611,Laura

654,Chinatown

659,Arsenic and Old Lace

682,I Know What You Did Last Summer

769,Congo

770,Devil in a Blue Dress

805,Manhattan Murder Mystery

809,Rising Sun

830,Power 98

855,Diva

878,That Darn Cat!

902,The Big Lebowski

914,Wild Things

945,Charade

978,Heaven's Prisoners

1003,That Darn Cat!

1020,Gaslight

1042,Just Cause

1101,Six Degrees of Separation

1129,Chungking Express

1159,Stalker

1212,Flesh and Bone

1284,Before and After

1313,Palmetto

1444,That Darn Cat!

1452,Lady of Burlesque

1553,Underneath

1581,Five Angles on Murder

1669,MURDER and murder


