10,Richard III

22,Braveheart

31,Crimson Tide

50,Star Wars

51,Legends of the Fall

69,Forrest Gump

80,Hot Shots! Part Deux

110,Operation Dumbo Drop

121,Independence Day

133,Gone with the Wind

157,Platoon

172,Star Wars: Episode V - The Empire Strikes Back

176,Aliens

180,Apocalypse Now

181,Return of the Jedi

188,Full Metal Jacket

190,Henry V

199,The Bridge on the River Kwai

205,Patton

211,M*A*S*H

214,Pink Floyd The Wall

235,Mars Attacks!

241,Last of the Mohicans

245,The Devil's Own

271,Starship Troopers

286,The English Patient

318,Schindler's List

326,G.I. Jane

426,The Transformers: The Movie

430,Duck Soup

471,Courage Under Fire

474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb

483,Casablanca

498,African Queen

502,Bananas

511,Lawrence of Arabia

515,Boot

520,The Great Escape

521,The Deer Hunter

528,The Killing Fields

549,Rob Roy

593,Stalingrad

601,For Whom the Bell Tolls

631,The Crying Game

641,Paths of Glory

647,Ran

651,Glory

687,McHale's Navy

690,Seven Years in Tibet

719,Canadian Bacon

744,Michael Collins

803,Heaven

879,Peacemaker

891,Bent

935,Paradise Road

944,Renaissance Man

971,Mediterraneo

1065,Koyaanisqatsi

1124,A Farewell to Arms

1152,In Love and War

1176,Welcome to Sarajevo

1185,In the Army Now

1204,To Be or Not to Be

1357,For the Moment

1423,Walking Dead

1485,Colonel Chabert

1501,Prisoner of the Mountains

1529,Underground

1574,Pharaoh's Army

1632,Land and Freedom

1663,Nothing Personal


