51,Legends of the Fall

73,Maverick

97,Dances with Wolves

177,Good

203,Unforgiven

232,Young Guns

415,The Apple Dumpling Gang

435,Butch Cassidy and the Sundance Kid

470,Tombstone

510,Magnificent Seven

556,Wild Bill

562,The Quick and the Dead

570,Wyatt Earp

575,City Slickers II: The Legend of Curly's Gold

589,The Wild Bunch

621,Davy Crockett

646,Once Upon a Time in the West

661,High Noon

840,Last Man Standing

922,Dead Man

1000,Lightning Jack

1004,Geronimo: An American Legend

1188,Young Guns II

1247,Bad Girls

1454,Angel and the Badman

1455,Outlaw

1587,Terror in a Texas Town


